Object                  Class  Epo  Mult M11    M11_s Grt     Grt_s  BV     BVs    BVd    VR     VRs    VRd    RI     RIs    RId   VJ     VJs    VJd    JH     JHs    JHd    HK     HKs    HKd      
2003QR91                Class-h   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Vil+14 nodate ThermalIR tel=S hmag=6.55 0.56 emi=0.9 - diam=280 -30 +27 pV=0.054 -0.028 +0.035 freeta=1.2 -0.12 +0.1 
2003QY90                Class-c   1   2 ------ ------ 32.348  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2003QY90+B              Class-c   1   2 ------ ------ 32.348  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2003TJ58                Class-c   1   1 ------ ------ 19.719  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2003TJ58+B              Class-c   1   1 ------ ------ 18.639  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2003UT292               Res-3:2   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Mom+12 nodate ThermalIR tel=H hmag=6.85 0.68 emi=0.9 - diam=185.6 -18 +17.9 pV=0.067 -0.034 +0.068 fixeta=1.2 -0.35 +0.35 
2003UY291               Class-h   1   1 ------ ------ 20.163  3.383  0.880  0.099  0.000  0.510  0.070  0.000  0.670  0.070  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - S10 rotational lightcurve 
#                        She10 Object showed large light variations indicating possible rotational lc over 0.1 
2003WN188               Centaur   1   1 14.397  0.010 11.656  1.266  0.780  0.030  0.000  0.480  0.020  0.000  0.500  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2003WU188               Class-c   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Vil+14 nodate ThermalIR tel=H hmag=5.96 0.64 emi=0.9 - diam=220 -220 0 pV=0.15 -0 +999 fixedeta=1.20+-0.35 Non detection 
#
2004DA62                Centaur   1   1 13.163  0.020 16.136  1.812  0.850  0.060  0.000  0.520  0.040  0.000  0.550  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2004OJ14                Detachd   1   1  6.991  0.020 15.680  1.525  0.900  0.042  0.000  0.520  0.030  0.000  0.540  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2004PB108               Class-h   1   2 ------ ------ 19.177  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2004PB108+B             Class-h   1   2 ------ ------ 21.377  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2004QQ26                Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Duf+14 nodate ThermalIR tel=S hmag=9.53 0.36 emi=0.9 - diam=79 -19 +19 pV=0.044 -0.014 +0.039 fixeta=1.2 -0.35 +0.35 
#
2004XR190               Detachd   1   1  3.938  0.030 10.679  1.982  0.790  0.057  0.000  0.450  0.040  0.000  0.520  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2005TN53                Scatter   1   1 ------ ------ 10.085  3.731  0.820  0.080  0.000  0.470  0.070  0.000  0.470  0.090  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - ST06 Neptune trojan 
2006RJ103               Centaur   2   1  7.299  0.211  4.346  1.702  0.820  0.030  0.000  0.470  0.030  0.000  0.270  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
2007NC7                 Scatter   1   1  8.075  0.020 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2007TJ422               Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#
2007VH305               Centaur   5   1 11.709  0.091 11.430  1.896  0.690  0.030  0.000  0.491  0.027  0.003  0.480  0.064  0.000 ------ ------ ------  0.640  0.156  0.000 -0.370  0.192  0.000
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=8.21 0.3 diam=23.8 -8.0 +8.0 pV=0.070 -0.036 +0.036 fixeta=0.8 -0.384 +0.384 
2008JS14                Centaur   1   1 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=13.2 0.3 diam=14.5 -1.8 +1.8 pV=0.044 -0.019 +0.019 freeta=1.046 -0.186 +0.186 
2009YG19                Scatter   1   1  5.881  0.050 23.819  3.793  1.000  0.040  0.000  0.610  0.040  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
2010BK118               Scatter   4   1 10.351  0.030 14.529  2.020  0.794  0.027  0.014  0.525  0.030  0.019  0.480  0.042  0.030 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=10.2 0.3 diam=46.4 -1.8 +1.8 pV=0.068 -0.013 +0.013 freeta=0.821 -0.043 +0.043 
2010BL4                 Centaur   2   1 ------ ------  5.692  1.525  0.860  0.050  0.000  0.390  0.030  0.000  0.470  0.030  0.000 ------ ------ ------ ------ ------ ------ ------ ------ ------
#                      - Bau+13 nodate ThermalIR tel=WISE hmag=11.9 0.3 diam=15.7 -3.2 +3.2 pV=0.114 -0.052 +0.052 fixeta=0.8 -0.333 +0.333 
#
