,Hx,Nl,Nu,N
246,8.16,7112.031778184218,8585.08977615244,7809.398832769675
247,8.16,7178.462443758501,8662.59221932244,7879.238550617215
248,8.17,7235.1458648926255,8723.635903620727,7938.8308203079905
249,8.17,7285.980515695099,8778.380912177236,7992.274175695615
250,8.17,7333.449935396035,8829.50182570132,8042.179604907259
251,8.18,7429.835186092726,8933.301326451605,8143.511100762801
252,8.18,7516.0371984382455,9026.134262823702,8234.1367804554
253,8.18,7600.431162045567,9117.02006978543,8322.861626961414
254,8.18,7677.4634902167845,9199.977961662127,8403.847057682427
255,8.19,7775.2277392995,9305.26253759736,8506.628318602936
256,8.19,7832.553745171118,9366.998236228332,8566.896148840511
257,8.2,7919.7238274561505,9467.57910040337,8665.08553653149
258,8.2,8004.480470893838,9565.375227446853,8760.556398824318
259,8.21,8060.192388988088,9629.658209863297,8823.310946960193
260,8.23,8209.526269461046,9801.966533485942,8991.52235505789
261,8.23,8317.583304201873,9937.03782691198,9113.239047285062
262,8.23,8406.068800665913,10047.644697492024,9212.910132703182
263,8.23,8476.580296319278,10135.784067058728,9292.335095969136
264,8.23,8535.796482578953,10209.804299883326,9359.03689224851
265,8.24,8615.234458367824,10309.101769619418,9448.51674585947
266,8.24,8694.432904866215,10408.0998277424,9537.726790910543
267,8.25,8797.259617170752,10536.63321812307,9653.551987523815
268,8.25,8888.732831396348,10650.97473590507,9756.588472743231
269,8.25,8948.484274141822,10725.664039336914,9823.89318811159
270,8.25,9004.766605760711,10796.016953860522,9887.29025663114
271,8.27,9107.606420651206,10924.566722473639,10003.130212148597
272,8.27,9185.548330959911,11015.498951167132,10085.071902441785
273,8.27,9243.11302461545,11077.49169818079,10145.590669311392
274,8.28,9315.703361931844,11155.665907598446,10221.906157539728
275,8.29,9372.166391281216,11216.472246897769,10281.266725501642
